iter	RMSE
0	8474.041195
1	7657.735227
2	6931.813031
3	6330.085035
4	5716.486203
5	5180.759215
6	4703.761749
7	4265.202222
8	3897.318802
9	3518.571866
10	3214.516251
11	2904.129453
12	2643.560451
13	2399.548877
14	2174.346389
15	1975.18087
16	1811.814873
17	1649.639772
18	1493.761024
19	1353.691013
20	1242.446539
21	1133.93654
22	1035.559468
23	949.1693118
24	872.4202826
25	796.6072
26	735.9552359
27	677.4614163
28	626.7985301
29	579.6964175
30	538.9296734
31	502.5393572
32	469.8423698
33	442.8745241
34	416.0926867
35	396.4283095
36	375.8920869
37	357.3069906
38	341.2582029
39	325.5485489
40	312.9454968
41	301.5373899
42	293.0169777
43	283.4482111
44	275.5965621
45	268.3596098
46	262.0568611
47	256.5178013
48	251.9825717
49	247.3951155
50	243.6891633
51	241.1556898
52	238.1857276
53	234.853366
54	231.7570988
55	229.2878431
56	227.2219102
57	224.8992033
58	223.6658925
59	221.7302933
60	220.3887663
61	218.3533494
62	216.1689701
63	214.3841156
64	213.1716822
65	211.8030891
66	210.563637
67	210.0646479
68	208.9831091
69	207.6768074
70	207.2900369
71	206.2560119
72	205.2734881
73	204.0455616
74	203.0115555
75	201.6802572
76	200.6906415
77	199.6103696
78	198.3799782
79	197.4693136
80	196.1191365
81	195.1917446
82	194.4146154
83	193.8616488
84	193.2919742
85	192.6546601
86	191.7573036
87	191.1482132
88	190.4435499
89	189.8606576
90	189.2939391
91	188.7042707
92	188.0494269
93	187.3184016
94	186.7165497
95	186.1902464
96	185.3804118
97	185.0302871
98	184.1198355
99	183.7046672
