iter	Passed	Remaining
0	5	495
1	7	372
2	13	451
3	20	491
4	21	406
5	23	372
6	37	496
7	39	459
8	43	442
9	44	399
10	53	428
11	53	393
12	70	475
13	74	458
14	75	428
15	93	489
16	93	457
17	95	436
18	101	433
19	102	410
20	105	395
21	107	382
22	108	363
23	111	352
24	118	356
25	122	349
26	125	338
27	146	377
28	147	360
29	149	349
30	152	338
31	154	328
32	156	318
33	158	308
34	159	297
35	163	290
36	165	282
37	168	274
38	170	266
39	171	257
40	174	250
41	176	243
42	179	237
43	181	231
44	183	224
45	187	219
46	191	215
47	194	210
48	196	204
49	198	198
50	200	192
51	202	186
52	204	181
53	206	176
54	211	172
55	213	167
56	215	162
57	218	158
58	219	152
59	222	148
60	223	142
61	227	139
62	229	134
63	231	130
64	232	125
65	235	121
66	237	116
67	238	112
68	241	108
69	244	104
70	247	101
71	250	97
72	252	93
73	254	89
74	258	86
75	261	82
76	263	78
77	265	74
78	267	71
79	269	67
80	271	63
81	274	60
82	277	56
83	279	53
84	281	49
85	284	46
86	286	42
87	289	39
88	292	36
89	294	32
90	296	29
91	298	25
92	301	22
93	303	19
94	306	16
95	308	12
96	311	9
97	313	6
98	315	3
99	317	0
