iter	RMSE
0	5664850.177
1	5542695.681
2	5411469.917
3	5284760.842
4	5168662.462
5	5063838.219
6	4954674.98
7	4852172.45
8	4760836.658
9	4667824.982
10	4582280.471
11	4498558.989
12	4422405.794
13	4353778.74
14	4275897.843
15	4212986.316
16	4143187.298
17	4084806.871
18	4027425.903
19	3972121.889
20	3910631.959
21	3853834.406
22	3803204.337
23	3753002.526
24	3705567.374
25	3660927.584
26	3615596.985
27	3579653.479
28	3539899.341
29	3504105.259
30	3468802.405
31	3435899.825
32	3404011.922
33	3372335.419
34	3344882.387
35	3316454.854
36	3287535.097
37	3261744.901
38	3229274.677
39	3198118.628
40	3178246.481
41	3154032.4
42	3127677.946
43	3108995.65
44	3092189.466
45	3072784.816
46	3050676.727
47	3034401.334
48	3016641.893
49	2999348.215
50	2983769.582
51	2965078.729
52	2950879.851
53	2938002.35
54	2924330.297
55	2912001.361
56	2900033.593
57	2885609.817
58	2871847.186
59	2858846.665
60	2847096.85
61	2836245.98
62	2824368.31
63	2811646.972
64	2800272.418
65	2791637.701
66	2779962.854
67	2770361.598
68	2758581.715
69	2749649.224
70	2737551.44
71	2724905.37
72	2718168.959
73	2709915.129
74	2701306.683
75	2694557.957
76	2686701.385
77	2678946.615
78	2670106.231
79	2662137.156
80	2655709.264
81	2647182.46
82	2639141.035
83	2632997.236
84	2626688.703
85	2617534.387
86	2611135.999
87	2605690.026
88	2600200.881
89	2595190.932
90	2588736.632
91	2584048.725
92	2579186.403
93	2573923.594
94	2570469.836
95	2563279.933
96	2558963.08
97	2553017.115
98	2547041.726
99	2539657.995
100	2532019.123
101	2526479.261
102	2519735.607
103	2512917.555
104	2509027.028
105	2503986.287
106	2499851.272
107	2494127.118
108	2487715.54
109	2483750.582
110	2480743.385
111	2474647.607
112	2467535.376
113	2464075.55
114	2458201.406
115	2452185.105
116	2445997.667
117	2442031.771
118	2438389.643
119	2434257.665
120	2431204.172
121	2426631.759
122	2421814.881
123	2418282.851
124	2414648.987
125	2410529.573
126	2407473.578
127	2404735.891
128	2399963.413
129	2394685.45
130	2390183.087
131	2384555.756
132	2381098.027
133	2377894.426
134	2374022.484
135	2369313.553
136	2365460.893
137	2362381.854
138	2359841.931
139	2356577.971
140	2353991.234
141	2351734.883
142	2348362.127
143	2346037.281
144	2343136.471
145	2339904.755
146	2336598.87
147	2332155.223
148	2328846.025
149	2324787.819
150	2322398.974
151	2319865.774
152	2314977.157
153	2311078.27
154	2307045.386
155	2302057.513
156	2299690.419
157	2295342.031
158	2290762.544
159	2287444.177
160	2282449.463
161	2276727.972
162	2273798.81
163	2271159.438
164	2268576.568
165	2266049.135
166	2261812.991
167	2259828.351
168	2257128.358
169	2252940.98
170	2251655.424
171	2248676.273
172	2244218.622
173	2242412.24
174	2239982.182
175	2237743.895
176	2234610.493
177	2231049.582
178	2228440.235
179	2226541.386
180	2224088.105
181	2220248.659
182	2217154.082
183	2212234.654
184	2208261.04
185	2202682.077
186	2198595.755
187	2194921.144
188	2192324.201
189	2191203.906
190	2188494.559
191	2184979.828
