iter	Passed	Remaining
0	1	1447
1	2	1171
2	3	1178
3	4	1186
4	5	1188
5	8	1356
6	9	1336
7	10	1332
8	12	1322
9	13	1326
10	14	1328
11	15	1316
12	17	1303
13	18	1290
14	20	1318
15	21	1316
16	23	1368
17	25	1369
18	26	1371
19	27	1362
20	28	1348
21	30	1334
22	31	1324
23	32	1315
24	33	1306
25	34	1298
26	35	1290
27	41	1437
28	42	1438
29	44	1433
30	46	1438
31	47	1428
32	48	1417
33	50	1432
34	55	1536
35	57	1543
36	58	1530
37	59	1517
38	61	1503
39	62	1490
40	63	1476
41	64	1464
42	65	1452
43	66	1440
44	68	1454
45	69	1444
46	70	1433
47	71	1423
48	72	1413
49	73	1403
50	74	1394
51	75	1385
52	77	1386
53	78	1378
54	79	1370
55	81	1365
56	82	1356
57	83	1357
58	85	1357
59	86	1350
60	87	1350
61	89	1353
62	90	1344
63	91	1335
64	92	1326
65	93	1317
66	94	1309
67	94	1301
68	95	1292
69	96	1284
70	97	1276
71	99	1279
72	101	1293
73	103	1289
74	103	1281
75	104	1274
76	105	1267
77	106	1260
78	107	1253
79	108	1246
80	109	1240
81	110	1233
82	111	1227
83	111	1221
84	113	1223
85	114	1220
86	115	1214
87	116	1208
88	117	1202
89	118	1197
90	119	1191
91	120	1186
92	121	1181
93	122	1177
94	123	1173
95	124	1170
96	125	1167
97	126	1163
98	127	1162
99	128	1157
100	129	1153
101	130	1148
102	131	1144
103	132	1139
104	133	1135
105	134	1130
106	134	1126
107	135	1122
108	136	1118
109	137	1113
110	138	1111
111	139	1107
112	140	1103
113	141	1099
114	142	1097
115	144	1097
116	148	1121
117	149	1118
118	150	1114
119	151	1110
120	152	1106
121	153	1102
122	154	1098
123	154	1094
124	155	1090
125	156	1086
126	157	1083
127	159	1086
128	160	1082
129	161	1079
130	162	1076
131	163	1073
132	164	1069
133	165	1066
134	165	1062
135	166	1060
136	167	1056
137	168	1054
138	169	1051
139	170	1048
140	171	1045
141	172	1042
142	173	1042
143	175	1042
144	178	1053
145	179	1051
146	180	1048
147	181	1045
148	182	1041
149	183	1038
150	184	1035
151	185	1032
152	185	1029
153	186	1026
154	187	1023
155	188	1020
156	190	1021
