Manufacturer,Category,Screen Size,RAM,Storage,Operating System,Weight,Price,Screen Name
Other Manufacturer,Ultrabook,13.3,8.0,128,MacOS,1.37,11912523.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,128,MacOS,1.34,7993374.0,IPS Panel Retina Display
HP,Notebook,15.6,8.0,256,MacOS,1.86,5112900.0,Full HD
Other Manufacturer,Ultrabook,15.4,14.0,512,MacOS,1.83,22563005.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.37,16037611.0,IPS Panel Retina Display
Acer,Notebook,15.6,4.0,500,Windows,2.1,3556800.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,15.4,14.0,256,MacOS,2.04,19028613.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.34,10303160.0,IPS Panel Retina Display
Asus,Ultrabook,14.0,14.0,512,Windows,1.3,13293540.0,Full HD
Acer,Ultrabook,14.0,8.0,256,Windows,1.6,6846840.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,500,MacOS,1.86,3502559.0,Full HD
HP,Notebook,15.6,4.0,500,MacOS,1.86,3067651.0,Full HD
Other Manufacturer,Ultrabook,15.4,14.0,256,MacOS,1.83,21696213.0,IPS Panel Retina Display
Dell,Notebook,15.6,4.0,256,Windows,2.2,4436219.0,Full HD
Other Manufacturer,Ultrabook,12.0,8.0,256,MacOS,0.92,11225261.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.37,13502947.0,IPS Panel Retina Display
Dell,Notebook,15.6,8.0,256,Windows,2.2,6624540.0,Full HD
Other Manufacturer,Ultrabook,15.4,14.0,512,MacOS,1.83,24958343.625,IPS Panel Retina Display
Lenovo,Notebook,15.6,8.0,1,MacOS,2.2,4437108.0,Full HD
Dell,Ultrabook,13.3,8.0,128,Windows,1.22,8705268.0,IPS Panel Full HD / Touchscreen
Asus,Netbook,11.600000000000001,2.0,32,Windows,0.98,1706375.0,Full HD
Lenovo,Gaming,15.6,8.0,128,Windows,2.5,8883108.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,500,MacOS,1.86,2294136.0,Full HD
Dell,2 in 1 Convertible,13.3,8.0,256,Windows,1.62,7282548.0,Full HD / Touchscreen
HP,Ultrabook,15.6,8.0,256,Windows,1.91,5859828.0,Full HD
Dell,Notebook,15.6,4.0,1,Windows,2.3,3722547.0,Full HD / Touchscreen
Other Manufacturer,Ultrabook,13.3,8.0,128,MacOS,1.35,9772308.0,IPS Panel Retina Display
Dell,Notebook,15.6,8.0,256,Windows,2.2,7113600.0,Full HD
Dell,Ultrabook,15.6,8.0,256,Windows,1.88,11541816.0,Full HD
HP,Notebook,17.3,8.0,1,Windows,2.5,7967232.0,Full HD
Other Manufacturer,Notebook,15.6,4.0,64,Windows,1.89,2178451.0,Full HD
Asus,Notebook,14.0,2.0,32,Windows,1.65,1769508.0,Full HD
HP,Notebook,17.3,4.0,500,Windows,2.71,3903588.0,Full HD
Dell,Ultrabook,13.3,14.0,512,Windows,1.2,16619148.0,Other Screen Name
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.35,8874216.0,IPS Panel Retina Display
Lenovo,Notebook,14.0,4.0,64,Windows,1.44,2214108.0,IPS Panel Full HD
Acer,Notebook,15.6,4.0,1,Linux,2.1,3263364.0,IPS Panel Full HD
Dell,Notebook,17.3,8.0,128,Windows,2.8,8705268.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,1,Windows,1.86,4345431.0,Full HD
HP,Notebook,15.6,8.0,256,Windows,2.1,7816068.0,Full HD
Asus,Notebook,15.6,4.0,1,Linux,2.0,3458988.0,Full HD
Dell,Gaming,15.6,14.0,256,Windows,2.65,13329108.0,IPS Panel Full HD
Asus,Notebook,15.6,8.0,1,Linux,2.3,4650427.0,Full HD
Acer,Notebook,15.6,4.0,256,Windows,2.2,6064344.0,IPS Panel Full HD
Dell,2 in 1 Convertible,17.3,12.0,1,Windows,2.77,8883108.0,Full HD / Touchscreen
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.37,12617748.0,IPS Panel Retina Display
Lenovo,Notebook,15.6,4.0,128,MacOS,2.2,3281148.0,IPS Panel Full HD
Asus,Gaming,17.3,8.0,256,Windows,3.2,11550708.0,Full HD
Dell,Notebook,15.6,4.0,256,Windows,2.3,5681988.0,Full HD
Asus,Notebook,17.3,4.0,1,Windows,2.8,4143672.0,Full HD
Lenovo,2 in 1 Convertible,11.600000000000001,4.0,64,Android,0.69,2836548.0,Other Screen Name
Acer,Notebook,15.6,8.0,256,Windows,2.2,7478172.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,256,Windows,1.86,3543373.0,Full HD
HP,Notebook,13.3,8.0,512,Windows,1.49,9807876.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.4,3414528.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.13,6827278.0,Full HD
HP,Notebook,15.6,4.0,128,Windows,1.91,3903588.0,Full HD
Asus,Notebook,15.6,4.0,256,Windows,2.0,5212401.0,Full HD
MSI,Gaming,17.3,14.0,256,Windows,2.43,21776508.0,Full HD
Asus,Notebook,15.6,4.0,256,Linux,2.0,3690180.0,Full HD
Dell,Notebook,17.3,14.0,256,Windows,2.8,11550708.0,Full HD
Dell,Ultrabook,14.0,8.0,256,Windows,1.7,7816068.0,Full HD
Lenovo,Notebook,14.0,8.0,256,MacOS,1.7,5326308.0,IPS Panel Full HD
Asus,Notebook,14.0,8.0,256,Windows,1.4,8367372.0,Full HD
HP,Notebook,15.6,8.0,256,Windows,1.86,6135480.0,Full HD
Asus,Ultrabook,15.6,14.0,512,Windows,1.8,17632836.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,1.86,3900831.0,Full HD
HP,Notebook,14.0,4.0,32,Windows,1.44,2036268.0,Full HD
Lenovo,Notebook,15.6,4.0,1,Windows,1.9,4881708.0,Full HD
Asus,Gaming,17.3,12.0,1,Linux,3.0,8438508.0,Full HD
Other Manufacturer,Ultrabook,13.5,4.0,128,Windows,1.252,9683388.0,Touchscreen
Dell,Ultrabook,13.3,8.0,256,Windows,1.4,8491860.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.2,7736040.0,Full HD
MSI,Gaming,17.3,8.0,128,Windows,2.7,9736740.0,Full HD
Acer,Notebook,14.0,8.0,1,Windows,2.1,3458988.0,IPS Panel Full HD
Asus,Gaming,15.6,8.0,1,Windows,2.2,8438508.0,Full HD
Lenovo,Notebook,15.6,8.0,2,MacOS,2.2,4614948.0,Full HD
Dell,Notebook,15.6,8.0,128,Windows,2.02,7602660.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.2,4712760.0,Full HD
HP,Notebook,17.3,8.0,128,Windows,2.5,8687484.0,Full HD
Dell,Ultrabook,15.6,8.0,256,Windows,1.88,9747055.0,IPS Panel Full HD
Other Manufacturer,Ultrabook,12.0,8.0,512,MacOS,0.92,13426920.0,IPS Panel Retina Display
HP,Notebook,14.0,8.0,256,Windows,1.63,7647120.0,Full HD
Lenovo,Notebook,15.6,4.0,128,Windows,2.2,3547908.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.1,3512340.0,Full HD
Dell,Gaming,15.6,14.0,128,Windows,2.65,11995308.0,IPS Panel Full HD
HP,Ultrabook,15.6,8.0,256,Windows,1.83,6215508.0,IPS Panel Full HD
HP,Notebook,15.6,8.0,256,Windows,1.96,5326219.0,Full HD
Asus,Gaming,15.6,14.0,128,Windows,2.2,12884508.0,IPS Panel Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.21,14662908.0,IPS Panel Full HD
Asus,Gaming,15.6,8.0,1,Windows,2.45,6215508.0,Full HD
Acer,Notebook,15.6,8.0,1,Windows,2.2,6126588.0,Full HD
HP,Notebook,13.3,14.0,512,Windows,1.49,10643724.0,Full HD
Dell,Gaming,15.6,8.0,256,Windows,2.65,10625940.0,Full HD
Asus,Ultrabook,14.0,8.0,256,Windows,1.25,9327708.0,Full HD
