Manufacturer,Model Name,Category,Screen Size,RAM,Storage,Operating System,Weight,Price,Screen Name,Resolution Product
Apple,MacBook Pro,Ultrabook,13.3,8,128,macOS,1.37,11912523,IPS Panel Retina Display,4096000
Apple,Macbook Air,Ultrabook,13.3,8,128,macOS,1.34,7993374,IPS Panel Retina Display,1296000
HP,250 G6,Notebook,15.6,8,256,No OS,1.86,5112900,Full HD,2073600
Apple,MacBook Pro,Ultrabook,15.4,16,512,macOS,1.83,22563005,IPS Panel Retina Display,5184000
Apple,MacBook Pro,Ultrabook,13.3,8,256,macOS,1.37,16037611,IPS Panel Retina Display,4096000
Acer,Aspire 3,Notebook,15.6,4,500,Windows,2.1,3556800,IPS Panel Retina Display,1049088
Apple,MacBook Pro,Ultrabook,15.4,16,256,Mac OS,2.04,19028613,IPS Panel Retina Display,5184000
Apple,Macbook Air,Ultrabook,13.3,8,256,macOS,1.34,10303160,IPS Panel Retina Display,1296000
Asus,ZenBook UX430UN,Ultrabook,14.0,16,512,Windows,1.3,13293540,Full HD,2073600
Acer,Swift 3,Ultrabook,14.0,8,256,Windows,1.6,6846840,IPS Panel Full HD,2073600
HP,250 G6,Notebook,15.6,4,500,No OS,1.86,3502559,Full HD,1049088
HP,250 G6,Notebook,15.6,4,500,No OS,1.86,3067651,Full HD,2073600
Apple,MacBook Pro,Ultrabook,15.4,16,256,macOS,1.83,21696213,IPS Panel Retina Display,5184000
Dell,Inspiron 3567,Notebook,15.6,4,256,Windows,2.2,4436219,Full HD,2073600
Apple,"MacBook 12""",Ultrabook,12.0,8,256,macOS,0.92,11225261,IPS Panel Retina Display,3317760
Apple,MacBook Pro,Ultrabook,13.3,8,256,macOS,1.37,13502947,IPS Panel Retina Display,4096000
Dell,Inspiron 3567,Notebook,15.6,8,256,Windows,2.2,6624540,Full HD,2073600
Apple,MacBook Pro,Ultrabook,15.4,16,512,macOS,1.83,25413336,IPS Panel Retina Display,5184000
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,1,No OS,2.2,4437108,Full HD,2073600
Dell,XPS 13,Ultrabook,13.3,8,128,Windows,1.22,8705268,IPS Panel Full HD / Touchscreen,2073600
Asus,Vivobook E200HA,Netbook,11.6,2,32,Windows,0.98,1706375,Full HD,1049088
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,128,Windows,2.5,8883108,IPS Panel Full HD,2073600
HP,255 G6,Notebook,15.6,4,500,No OS,1.86,2294136,Full HD,1049088
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,256,Windows,1.62,7282548,Full HD / Touchscreen,2073600
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,256,Windows,1.91,5859828,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,4,1,Windows,2.3,3722547,Full HD / Touchscreen,1049088
Apple,MacBook Air,Ultrabook,13.3,8,128,Mac OS,1.35,9772308,IPS Panel Retina Display,1296000
Dell,Inspiron 5570,Notebook,15.6,8,256,Windows,2.2,7113600,Full HD,2073600
Dell,Latitude 5590,Ultrabook,15.6,8,256,Windows,1.88,11541816,Full HD,2073600
HP,ProBook 470,Notebook,17.3,8,1,Windows,2.5,7967232,Full HD,2073600
Chuwi,"LapBook 15.6""",Notebook,15.6,4,64,Windows,1.89,2178451,Full HD,2073600
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,32,Windows,1.65,1769508,Full HD,1049088
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,500,Windows,2.71,3903588,Full HD,2073600
Dell,XPS 13,Ultrabook,13.3,16,512,Windows,1.2,16619148,Touchscreen / Quad HD+,5760000
Apple,MacBook Air,Ultrabook,13.3,8,256,Mac OS,1.35,8874216,IPS Panel Retina Display,1296000
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,64,Windows,1.44,2214108,IPS Panel Full HD,1049088
Acer,Aspire 3,Notebook,15.6,4,1,Linux,2.1,3263364,IPS Panel Full HD,1049088
Dell,Inspiron 5770,Notebook,17.3,8,128,Windows,2.8,8705268,IPS Panel Full HD,2073600
HP,250 G6,Notebook,15.6,4,1,Windows,1.86,4345431,Full HD,1049088
HP,ProBook 450,Notebook,15.6,8,256,Windows,2.1,7816068,Full HD,2073600
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,1,Linux,2.0,3458988,Full HD,2073600
Dell,Inspiron 7577,Gaming,15.6,16,256,Windows,2.65,13329108,IPS Panel Full HD,2073600
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,1,Linux,2.3,4650427,Full HD,1049088
Acer,Aspire A515-51G,Notebook,15.6,4,256,Windows,2.2,6064344,IPS Panel Full HD,2073600
Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,1,Windows,2.77,8883108,Full HD / Touchscreen,2073600
Apple,MacBook Pro,Ultrabook,13.3,8,256,macOS,1.37,12617748,IPS Panel Retina Display,4096000
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,128,No OS,2.2,3281148,IPS Panel Full HD,1049088
Asus,Rog Strix,Gaming,17.3,8,256,Windows,3.2,11550708,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,4,256,Windows,2.3,5681988,Full HD,2073600
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,1,Windows,2.8,4143672,Full HD,1049088
Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,64,Android,0.69,2836548,IPS Panel Touchscreen,2304000
Acer,Aspire A515-51G,Notebook,15.6,8,256,Windows,2.2,7478172,IPS Panel Full HD,2073600
HP,255 G6,Notebook,15.6,4,256,Windows,1.86,3543373,Full HD,2073600
HP,ProBook 430,Notebook,13.3,8,512,Windows,1.49,9807876,Full HD,2073600
Acer,Aspire 3,Notebook,15.6,4,1,Windows,2.4,3414528,IPS Panel Full HD,1049088
Dell,Inspiron 3576,Notebook,15.6,8,256,Windows,2.13,6827278,Full HD,2073600
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,128,Windows,1.91,3903588,Full HD,2073600
Asus,VivoBook Max,Notebook,15.6,4,256,Windows,2.0,5212401,Full HD,1049088
MSI,GS73VR 7RG,Gaming,17.3,16,256,Windows,2.43,21776508,Full HD,2073600
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,256,Linux,2.0,3690180,Full HD,2073600
Dell,Inspiron 5770,Notebook,17.3,16,256,Windows,2.8,11550708,Full HD,2073600
Dell,Vostro 5471,Ultrabook,14.0,8,256,Windows,1.7,7816068,Full HD,2073600
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8,256,No OS,1.7,5326308,IPS Panel Full HD,2073600
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8,256,Windows,1.4,8367372,Full HD,2073600
HP,250 G6,Notebook,15.6,8,256,Windows,1.86,6135480,Full HD,2073600
Asus,ZenBook Pro,Ultrabook,15.6,16,512,Windows,1.8,17632836,Full HD,2073600
HP,250 G6,Notebook,15.6,4,500,Windows,1.86,3900831,Full HD,1049088
HP,Stream 14-AX040wm,Notebook,14.0,4,32,Windows,1.44,2036268,Full HD,1049088
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,1,Windows,1.9,4881708,Full HD,2073600
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,1,Linux,3.0,8438508,Full HD,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,4,128,Windows,1.252,9683388,Touchscreen,3393024
Dell,Inspiron 5370,Ultrabook,13.3,8,256,Windows,1.4,8491860,IPS Panel Full HD,2073600
Dell,Inspiron 5570,Notebook,15.6,8,256,Windows,2.2,7736040,Full HD,2073600
MSI,GL72M 7RDX,Gaming,17.3,8,128,Windows,2.7,9736740,Full HD,2073600
Acer,Aspire E5-475,Notebook,14.0,8,1,Windows,2.1,3458988,IPS Panel Full HD,1049088
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,1,Windows,2.2,8438508,Full HD,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,2,No OS,2.2,4614948,Full HD,2073600
Dell,Inspiron 5570,Notebook,15.6,8,128,Windows,2.02,7602660,Full HD,2073600
Acer,Aspire A515-51G-32MX,Notebook,15.6,4,1,Windows,2.2,4712760,Full HD,2073600
HP,ProBook 470,Notebook,17.3,8,128,Windows,2.5,8687484,Full HD,2073600
Dell,Latitude 5590,Ultrabook,15.6,8,256,Windows,1.88,9747055,IPS Panel Full HD,2073600
Apple,"MacBook 12""",Ultrabook,12.0,8,512,macOS,0.92,13426920,IPS Panel Retina Display,3317760
HP,ProBook 440,Notebook,14.0,8,256,Windows,1.63,7647120,Full HD,2073600
Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,128,Windows,2.2,3547908,Full HD,2073600
Acer,Aspire 3,Notebook,15.6,4,1,Windows,2.1,3512340,Full HD,1049088
Dell,Inspiron 7577,Gaming,15.6,16,128,Windows,2.65,11995308,IPS Panel Full HD,2073600
HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,256,Windows,1.83,6215508,IPS Panel Full HD,2073600
HP,250 G6,Notebook,15.6,8,256,Windows,1.96,5326219,Full HD,2073600
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,128,Windows,2.2,12884508,IPS Panel Full HD,2073600
